Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
PFPT,PROOFPOINT INC,Equity,0.5,116.47,"175,412.00","20,430,235.64","20,430,235.64",Information Technology,B6VDQC3,US7434241037,NASDAQ,United States,USD,USD,1
DT,DYNATRACE INC,Equity,0.46,37.96,"493,410.00","18,729,843.60","18,729,843.60",Information Technology,BJV2RD9,US2681501092,New York Stock Exchange Inc.,United States,USD,USD,1
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Equity,0.46,205.43,"91,151.00","18,725,149.93","18,725,149.93",Information Technology,BGSP7M9,US98980L1017,NASDAQ,United States,USD,USD,1
FIVN,FIVE9 INC,Equity,0.44,96.07,"190,082.00","18,261,177.74","18,261,177.74",Information Technology,BKY7X18,US3383071012,NASDAQ,United States,USD,USD,1
RP,REALPAGE INC,Equity,0.44,67.76,"264,073.00","17,893,586.48","17,893,586.48",Information Technology,B4W2S29,US75606N1090,NASDAQ,United States,USD,USD,1
MANH,MANHATTAN ASSOCIATES INC,Equity,0.43,89.62,"198,660.00","17,803,909.20","17,803,909.20",Information Technology,2239471,US5627501092,NASDAQ,United States,USD,USD,1
CDK,CDK GLOBAL INC,Equity,0.43,46.37,"377,618.00","17,510,146.66","17,510,146.66",Information Technology,BQXTWQ5,US12508E1010,NASDAQ,United States,USD,USD,1
PCTY,PAYLOCITY HOLDING CORP,Equity,0.37,135.6,"111,464.00","15,114,518.40","15,114,518.40",Information Technology,BKM4N88,US70438V1061,NASDAQ,United States,USD,USD,1
DBX,DROPBOX INC CLASS A,Equity,0.36,21.93,"671,503.00","14,726,060.79","14,726,060.79",Information Technology,BG0T321,US26210C1045,NASDAQ,United States,USD,USD,1
EVBG,EVERBRIDGE INC,Equity,0.34,131.96,"105,083.00","13,866,752.68","13,866,752.68",Information Technology,BYY5ZB4,US29978A1043,NASDAQ,United States,USD,USD,1
DSGX,DESCARTES SYSTEMS GROUP INC,Equity,0.32,50,"261,598.00","13,079,900.00","13,079,900.00",Information Technology,2528834,CA2499061083,NASDAQ,Canada,USD,USD,1
LOGM,LOGMEIN INC,Equity,0.32,85.39,"151,878.00","12,968,862.42","12,968,862.42",Information Technology,B600J15,US54142L1098,NASDAQ,United States,USD,USD,1
SMAR,SMARTSHEET INC CLASS A,Equity,0.31,45.68,"281,367.00","12,852,844.56","12,852,844.56",Information Technology,BFZND98,US83200N1037,New York Stock Exchange Inc.,United States,USD,USD,1
QTWO,Q2 HOLDINGS INC,Equity,0.3,83.7,"149,446.00","12,508,630.20","12,508,630.20",Information Technology,BKM4KV0,US74736L1098,New York Stock Exchange Inc.,United States,USD,USD,1
ENV,ENVESTNET INC,Equity,0.3,76.08,"163,101.00","12,408,724.08","12,408,724.08",Information Technology,B474ZK7,US29404K1060,New York Stock Exchange Inc.,United States,USD,USD,1
PLAN,ANAPLAN INC,Equity,0.3,46.29,"266,326.00","12,328,230.54","12,328,230.54",Information Technology,BD9PLW5,US03272L1089,New York Stock Exchange Inc.,United States,USD,USD,1
JCOM,J2 GLOBAL INC,Equity,0.28,81.08,"143,937.00","11,670,411.96","11,670,411.96",Information Technology,B75DGJ3,US48123V1026,NASDAQ,United States,USD,USD,1
PEGA,PEGASYSTEMS INC,Equity,0.28,97.54,"118,332.00","11,542,103.28","11,542,103.28",Information Technology,2675860,US7055731035,NASDAQ,United States,USD,USD,1
QLYS,QUALYS INC,Equity,0.27,107.38,"103,601.00","11,124,675.38","11,124,675.38",Information Technology,B7XJTN8,US74758T3032,NASDAQ,United States,USD,USD,1
NTNX,NUTANIX INC CLASS A,Equity,0.27,24.09,"453,384.00","10,922,020.56","10,922,020.56",Information Technology,BYQBFT8,US67059N1081,NASDAQ,United States,USD,USD,1
